embedding dimension, vocabulary threshold, relative recall, intersection
300, 25, 12790, 73770
250, 15, 13645, 76417
200, 50, 10236, 58795
100, 35, 11562, 56985
100, 50, 10236, 49865
200, 5, 13645, 41058
150, 40, 11049, 62595
200, 15, 13645, 79770
150, 10, 13645, 66555
150, 25, 12790, 76296
50, 20, 13645, 48855
200, 40, 11049, 64817
100, 25, 12790, 64802
50, 5, 13645, 36043
250, 5, 13645, 36931
300, 30, 12141, 68162
100, 5, 13645, 45095
150, 5, 13645, 45096
150, 30, 12141, 70760
50, 30, 12141, 43045
150, 45, 10651, 59721
200, 35, 11562, 68467
50, 15, 13645, 46844
250, 20, 13645, 85818
250, 50, 10236, 57292
150, 20, 13645, 84647
100, 40, 11049, 54233
250, 25, 12790, 77133
50, 45, 10651, 37885
100, 45, 10651, 52011
200, 10, 13645, 65820
300, 15, 13645, 72180
250, 10, 13645, 61752
300, 10, 13645, 57190
300, 45, 10651, 58032
300, 35, 11562, 64042
100, 20, 13645, 71206
50, 40, 11049, 39374
100, 30, 12141, 60527
300, 5, 13645, 33374
300, 50, 10236, 55356
50, 25, 12790, 45576
250, 30, 12141, 71269
250, 35, 11562, 66575
300, 20, 13645, 81648
100, 10, 13645, 59644
50, 10, 13645, 43169
250, 40, 11049, 63024
200, 25, 12790, 79240
150, 35, 11562, 66237
200, 45, 10651, 61500
300, 40, 11049, 60775
100, 15, 13645, 66789
50, 35, 11562, 40904
200, 30, 12141, 73320
150, 15, 13645, 77528
50, 50, 10236, 36687
250, 45, 10651, 60218
150, 50, 10236, 56959
