embedding dimension, vocabulary threshold, performance, recall
300, 25, 0.149123104012, 26336
250, 15, 0.134219999632, 30310
200, 50, 0.169495127154, 20953
100, 35, 0.156553179722, 23748
100, 50, 0.163587006088, 20953
200, 5, 0.101573700405, 36814
150, 40, 0.162779974449, 22698
200, 15, 0.135667741043, 30310
150, 10, 0.126906306033, 32982
150, 25, 0.152124064609, 26336
50, 20, 0.129897722391, 28185
200, 40, 0.164061547411, 22698
100, 25, 0.148041823559, 26336
50, 5, 0.105651541, 36814
250, 5, 0.0968449000112, 36814
300, 30, 0.154121817602, 24970
100, 5, 0.111354481601, 36814
150, 5, 0.106833138795, 36814
150, 30, 0.157009712707, 24970
50, 30, 0.137526168191, 24970
150, 45, 0.165522777359, 21873
200, 35, 0.160196630181, 23748
50, 15, 0.123934297851, 30310
250, 20, 0.142953514903, 28185
250, 50, 0.169555839722, 20953
150, 20, 0.145311338163, 28185
100, 40, 0.15909794537, 22698
250, 25, 0.151793815489, 26336
50, 45, 0.145302697771, 21873
100, 45, 0.161044984804, 21873
200, 10, 0.123513179892, 32982
200, 20, 0.14456456069, 28185
300, 15, 0.130519836113, 30310
250, 10, 0.120174138898, 32982
300, 10, 0.116469028795, 32982
300, 45, 0.165527655702, 21873
300, 35, 0.159406050066, 23748
100, 20, 0.143969263366, 28185
50, 40, 0.14367814503, 22698
100, 30, 0.153177805175, 24970
300, 5, 0.0928898904978, 36814
300, 50, 0.169723881504, 20953
50, 25, 0.13449217143, 26336
250, 30, 0.155897746708, 24970
250, 35, 0.160097194295, 23748
300, 20, 0.141129465716, 28185
100, 10, 0.127513317588, 32982
50, 10, 0.11735632359, 32982
250, 40, 0.162326043329, 22698
200, 25, 0.151525604881, 26336
150, 35, 0.15984329457, 23748
200, 45, 0.166058761442, 21873
300, 40, 0.163475233457, 22698
100, 15, 0.137059685792, 30310
50, 35, 0.140486392602, 23748
200, 30, 0.15632925208, 24970
150, 15, 0.137567773103, 30310
50, 50, 0.147064867565, 20953
250, 45, 0.166531163637, 21873
150, 50, 0.167122200737, 20953
