sub_corpora_size(of original corpus),KLD_bigram_partition,KLD_word_partition,KLD_bigram_sampling,KLD_word_sampling
1E-05,1.30629528034,0.748906436243,0.997903773119,1.18014577309
2E-05,0.912815323819,0.631963188559,0,1.08921941055
3.33333333333E-05,1.46238810164,0.556357345237,0,0.802258664544
0.0001,1.24078364356,0.372879306976,1.09521150697,0.557848010936
0.0002,1.15149159487,0.297998606566,0.980535073858,0.421463578949
0.000333333333333,1.16457978478,0.26147985637,5.70533378217,0.350685788795
0.001,0.98539941009,0.195144781457,5.17565361997,0.239713979214
0.002,1.41694126234,0.381971216303,1.1568259684,0.177018669152
0.00333333333333,0.955511428201,0.24733256069,1.35463514125,0.136179601727
0.01,0.56808246235,0.121312639739,0.503691123257,0.0840586186775
0.02,0.496532007283,0.0705423333449,0.684678655855,0.0588516768406
0.0333333333333,0.447646987705,0.0585336244851,0.577616633505,0.0453281474415
0.1,0.388489282642,0.0447206126602,0.247388322192,0.0230616692893
