size (of original corpus),sampling,partition
1/100000,1.18014577309,1.30629528034
1/50000,1.08921941055,0.912815323819
1/30000,0.802258664544,1.46238810164
1/10000,0.557848010936,1.24078364356
1/5000,0.421463578949,1.15149159487
1/3000,0.350685788795,1.16457978478
1/1000,0.239713979214,0.98539941009
1/500,0.177018669152,1.41694126234
1/300,0.136179601727,0.955511428201
1/100,0.0840586186775,0.56808246235
1/50,0.0588516768406,0.496532007283
1/30,0.0453281474415,0.447646987705
1/10,0.0230616692893,0.388489282642
