size (of original corpus),bigrams,words
1/100000,6.55534853941,1.18014577309
1/50000,3.63944360882,1.08921941055
1/30000,4.50211327134,0.802258664544
1/10000,2.96674565866,0.557848010936
1/5000,2.52932945069,0.421463578949
1/3000,2.15698255208,0.350685788795
1/1000,1.45126247682,0.239713979214
1/500,1.23198971255,0.177018669152
1/300,1.06380243479,0.136179601727
1/100,0.607599201229,0.0840586186775
1/50,0.455890209974,0.0588516768406
1/30,0.342965087547,0.0453281474415
1/10,0.195429772609,0.0230616692893
