,KL_Divergence,KL_Divergence_bigram,partition_size
0,1.07982757601,,1e-05
0,0.997903773119,,1e-05
0,0.997903773119,,1e-05
0,1.2882725796,,1e-05
0,0.0,,1e-05
0,0.0,,1e-05
0,0.997903773119,,1e-05
0,0.997903773119,,1e-05
0,0.997903773119,,1e-05
0,5.70533378217,,1e-05
0,0.996419034192,,2e-05
0,1.01706692952,,2e-05
0,0.0,,2e-05
0,0.997903773119,,2e-05
0,1.93053294118,,2e-05
0,0.997903773119,,2e-05
0,0.0,,2e-05
0,1.09521150697,,2e-05
0,1.09521150697,,2e-05
0,0.997903773119,,2e-05
0,0.995988053253,,3.33333333333e-05
0,1.2882725796,,3.33333333333e-05
0,1.26027745612,,3.33333333333e-05
0,0.997903773119,,3.33333333333e-05
0,0.957256037638,,3.33333333333e-05
0,1.09521150697,,3.33333333333e-05
0,0.810827535723,,3.33333333333e-05
0,2.9649357472,,3.33333333333e-05
0,1.2882725796,,3.33333333333e-05
0,2.9649357472,,3.33333333333e-05
0,0.934147218269,,0.0001
0,0.929181720769,,0.0001
0,0.761993079503,,0.0001
0,1.01706692952,,0.0001
0,1.6209091422,,0.0001
0,0.810827535723,,0.0001
0,1.78015296589,,0.0001
0,1.04482823329,,0.0001
0,2.26892456074,,0.0001
0,1.23980504973,,0.0001
0,0.822897520314,,0.0002
0,0.845428629605,,0.0002
0,1.13019173099,,0.0002
0,1.27331685995,,0.0002
0,1.5740052203,,0.0002
0,1.29743785318,,0.0002
0,1.01829545919,,0.0002
0,1.60902469186,,0.0002
0,0.87898341439,,0.0002
0,1.06533456894,,0.0002
0,0.760155756304,,0.000333333333333
0,1.1694845605,,0.000333333333333
0,1.0912977434,,0.000333333333333
0,1.0155814202,,0.000333333333333
0,1.33496633098,,0.000333333333333
0,0.842220733794,,0.000333333333333
0,0.921955839094,,0.000333333333333
0,1.03292427671,,0.000333333333333
0,0.968249598385,,0.000333333333333
0,2.50896158842,,0.000333333333333
0,0.773724402141,,0.001
0,0.777409343029,,0.001
0,0.587982436882,,0.001
0,1.50931570561,,0.001
0,1.33500057647,,0.001
0,1.23960908521,,0.001
0,0.811664043975,,0.001
0,0.648355869735,,0.001
0,0.819445163987,,0.001
0,1.35148747386,,0.001
0,0.639675476283,,0.002
0,0.907767787952,,0.002
0,1.11762243027,,0.002
0,0.653639037607,,0.002
0,0.700292732399,,0.002
0,1.03356256038,,0.002
0,2.57779999701,,0.002
0,3.30146007187,,0.002
0,2.44518202006,,0.002
0,0.792410509605,,0.002
0,0.588972371281,,0.00333333333333
0,0.836156481441,,0.00333333333333
0,0.526455886851,,0.00333333333333
0,0.997117740257,,0.00333333333333
0,2.7960230428,,0.00333333333333
0,0.765877684625,,0.00333333333333
0,0.630632315114,,0.00333333333333
0,0.788444419505,,0.00333333333333
0,0.921590032827,,0.00333333333333
0,0.703844307312,,0.00333333333333
0,0.444882056397,,0.01
0,0.664791411196,,0.01
0,0.502107122646,,0.01
0,0.481957336703,,0.01
0,0.53349400877,,0.01
0,0.628946279108,,0.01
0,0.520148790974,,0.01
0,0.547278738097,,0.01
0,0.524656005885,,0.01
0,0.832562873727,,0.01
0,0.4064313058,,0.02
0,0.371495986741,,0.02
0,0.434670651217,,0.02
0,0.386915658086,,0.02
0,0.468571612804,,0.02
0,0.653712034224,,0.02
0,0.539504059553,,0.02
0,0.654562833817,,0.02
0,0.550507896482,,0.02
0,0.49894803411,,0.02
0,0.335882092824,,0.0333333333333
0,0.346803810132,,0.0333333333333
0,0.33377399221,,0.0333333333333
0,0.499946935122,,0.0333333333333
0,0.458005767908,,0.0333333333333
0,0.460986784188,,0.0333333333333
0,0.470471858956,,0.0333333333333
0,0.348401957747,,0.0333333333333
0,0.659362642395,,0.0333333333333
0,0.56283403557,,0.0333333333333
0,0.216111504117,,0.1
0,0.255579015517,,0.1
0,0.301676678527,,0.1
0,0.311242558942,,0.1
0,0.361473636386,,0.1
0,0.259696635775,,0.1
0,0.571673369756,,0.1
0,0.423370239826,,0.1
0,0.600221935229,,0.1
0,0.583847252343,,0.1
