,KL_Divergence,KL_Divergence_word,sample_size
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.18014577309,,1/100000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,1.08921941055,,1/50000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.802258664544,,1/30000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.557848010936,,1/10000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.421463578949,,1/5000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.350685788795,,1/3000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.239713979214,,1/1000
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.177018669152,,1/500
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.136179601727,,1/300
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0840586186775,,1/100
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0588516768406,,1/50
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0453281474415,,1/30
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
0,0.0230616692893,,1/10
